no,filename,teochew_char,teochew_pengim,thai_meaning,english_meaning,category,notes,status,recorder,recorded_date,word_id
001,001.m4a,一,ig,หนึ่ง,one,ตัวเลข,ออกเสียงคล้าย อิก,⏳ รอ,,,a0000001-0000-0000-0000-000000000001
002,002.m4a,二,nǒ,สอง,two,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000002
003,003.m4a,三,san,สาม,three,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000003
004,004.m4a,四,sì,สี่,four,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000004
005,005.m4a,五,ngǒu,ห้า,five,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000005
006,006.m4a,六,la̍g,หก,six,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000006
007,007.m4a,七,cig,เจ็ด,seven,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000007
008,008.m4a,八,boih,แปด,eight,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000008
009,009.m4a,九,gáu,เก้า,nine,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000009
010,010.m4a,十,za̍b,สิบ,ten,ตัวเลข,,⏳ รอ,,,a0000001-0000-0000-0000-000000000010
011,011.m4a,我,uá,ฉัน,I / me,คำสรรพนาม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000011
012,012.m4a,汝,lé,คุณ,you (singular),คำสรรพนาม,ใช้ในบริบทไม่เป็นทางการ,⏳ รอ,,,a0000001-0000-0000-0000-000000000012
013,013.m4a,伊,i,เขา/เธอ,he / she,คำสรรพนาม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000013
014,014.m4a,阮,uáng,พวกเรา (ไม่รวมผู้ฟัง),we (exclusive),คำสรรพนาม,ไม่รวมผู้ฟัง,⏳ รอ,,,a0000001-0000-0000-0000-000000000014
015,015.m4a,咱,náng,พวกเรา (รวมผู้ฟัง),we (inclusive),คำสรรพนาม,รวมผู้ฟัง,⏳ รอ,,,a0000001-0000-0000-0000-000000000015
016,016.m4a,恁,níng,พวกคุณ,you (plural),คำสรรพนาม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000016
017,017.m4a,伊人,i nâng,พวกเขา,they,คำสรรพนาม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000017
018,018.m4a,这,zí,นี่,this,คำสรรพนาม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000018
019,019.m4a,许,hé,นั่น,that,คำสรรพนาม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000019
020,020.m4a,底个,dī gâi,อะไร,what,คำสรรพนาม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000020
021,021.m4a,阿爸,a bâ,พ่อ,father,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000021
022,022.m4a,阿母,a bhó,แม่,mother,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000022
023,023.m4a,阿兄,a hian,พี่ชาย,elder brother,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000023
024,024.m4a,阿姐,a zé,พี่สาว,elder sister,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000024
025,025.m4a,阿弟,a dǐ,น้องชาย,younger brother,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000025
026,026.m4a,阿妹,a muǒi,น้องสาว,younger sister,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000026
027,027.m4a,阿公,a gong,ปู่/ตา,grandfather,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000027
028,028.m4a,阿嬷,a má,ย่า/ยาย,grandmother,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000028
029,029.m4a,丈夫,diǒn hu,สามี,husband,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000029
030,030.m4a,某,bhóu,ภรรยา,wife,ครอบครัว,ภาษาพูดแต้จิ๋ว,⏳ รอ,,,a0000001-0000-0000-0000-000000000030
031,031.m4a,儿,gián,ลูกชาย,son,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000031
032,032.m4a,走仔,záo gián,ลูกสาว,daughter,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000032
033,033.m4a,孙,sung,หลาน,grandchild,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000033
034,034.m4a,阿叔,a zeg,ลุง (น้องชายพ่อ),uncle (father's younger brother),ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000034
035,035.m4a,阿姆,a ḿ,ป้า,aunt,ครอบครัว,,⏳ รอ,,,a0000001-0000-0000-0000-000000000035
036,036.m4a,头,tâo,หัว,head,ร่างกาย,ใช้เป็นคำต่อท้ายได้หลายคำ เช่น 石头 日头,⏳ รอ,,,a0000001-0000-0000-0000-000000000036
037,037.m4a,目,ma̍g,ตา,eye,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000037
038,038.m4a,耳,hǐn,หู,ear,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000038
039,039.m4a,鼻,pīn,จมูก,nose,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000039
040,040.m4a,嘴,cuì,ปาก,mouth,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000040
041,041.m4a,手,ciú,มือ,hand,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000041
042,042.m4a,脚,ka,ขา/เท้า,leg / foot,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000042
043,043.m4a,腹肚,bag dóu,ท้อง,stomach / belly,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000043
044,044.m4a,心,sim,หัวใจ,heart,ร่างกาย,ใช้ในความหมายทั้งอวัยวะและจิตใจ,⏳ รอ,,,a0000001-0000-0000-0000-000000000044
045,045.m4a,面,mīn,หน้า,face,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000045
046,046.m4a,齿,kí,ฟัน,tooth,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000046
047,047.m4a,舌,zi̍h,ลิ้น,tongue,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000047
048,048.m4a,头毛,tâo mô,ผม,hair (head),ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000048
049,049.m4a,颈,gén,คอ,neck,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000049
050,050.m4a,肩头,goih tâo,ไหล่,shoulder,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000050
051,051.m4a,骨,gug,กระดูก,bone,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000051
052,052.m4a,血,hueh,เลือด,blood,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000052
053,053.m4a,皮,puê,ผิวหนัง,skin,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000053
054,054.m4a,指头,zóin tâo,นิ้วมือ,finger,ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000054
055,055.m4a,背,bòi,หลัง,back (body),ร่างกาย,,⏳ รอ,,,a0000001-0000-0000-0000-000000000055
056,056.m4a,食,zia̍h,กิน,eat,กริยา,คำพื้นฐานที่ใช้บ่อยที่สุด,⏳ รอ,,,a0000001-0000-0000-0000-000000000056
057,057.m4a,饮,lim,ดื่ม,drink,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000057
058,058.m4a,行,giân,เดิน,walk,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000058
059,059.m4a,走,záo,วิ่ง,run,กริยา,ในแต้จิ๋ว 走 แปลว่าวิ่ง ไม่ใช่เดิน,⏳ รอ,,,a0000001-0000-0000-0000-000000000059
060,060.m4a,来,lâi,มา,come,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000060
061,061.m4a,去,kè,ไป,go,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000061
062,062.m4a,看,tóin,ดู/เห็น,see / look,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000062
063,063.m4a,听,tian,ฟัง/ได้ยิน,hear / listen,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000063
064,064.m4a,说,dàn,พูด,speak / say,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000064
065,065.m4a,买,bhói,ซื้อ,buy,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000065
066,066.m4a,卖,bhōi,ขาย,sell,กริยา,ออกเสียงใกล้เคียง 买 แต่คนละวรรณยุกต์,⏳ รอ,,,a0000001-0000-0000-0000-000000000066
067,067.m4a,乞,kig,ให้,give,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000067
068,068.m4a,拿,te,เอา/ถือ,take / hold,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000068
069,069.m4a,睏,kùng,นอน,sleep,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000069
070,070.m4a,醒,cén,ตื่น,wake up,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000070
071,071.m4a,做,zò,ทำ,do / make,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000071
072,072.m4a,爱,àin,รัก/ต้องการ,love / want,กริยา,ใช้ได้ทั้งความหมายรักและต้องการ,⏳ รอ,,,a0000001-0000-0000-0000-000000000072
073,073.m4a,识,bag,รู้จัก,know (a person/thing),กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000073
074,074.m4a,知,zai,รู้,know (a fact),กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000074
075,075.m4a,想,siún,คิด/คิดถึง,think / miss,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000075
076,076.m4a,等,dán,รอ,wait,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000076
077,077.m4a,开,kui,เปิด,open,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000077
078,078.m4a,关,gueng,ปิด,close,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000078
079,079.m4a,洗,sói,ล้าง,wash,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000079
080,080.m4a,煮,zé,ทำอาหาร/ต้ม,cook / boil,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000080
081,081.m4a,用,ēng,ใช้,use,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000081
082,082.m4a,笑,ciò,หัวเราะ,laugh / smile,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000082
083,083.m4a,哭,kào,ร้องไห้,cry,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000083
084,084.m4a,返,déng,กลับ,return,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000084
085,085.m4a,找,cuē,หา,look for / find,กริยา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000085
086,086.m4a,大,duā,ใหญ่,big,คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000086
087,087.m4a,细,sòi,เล็ก,small,คำคุณศัพท์,ในแต้จิ๋วใช้ 细 แทน 小,⏳ รอ,,,a0000001-0000-0000-0000-000000000087
088,088.m4a,好,hó,ดี,good,คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000088
089,089.m4a,歹,pái,ไม่ดี/เลว,bad,คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000089
090,090.m4a,热,rua̍h,ร้อน,hot,คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000090
091,091.m4a,寒,guân,หนาว/เย็น,cold,คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000091
092,092.m4a,甜,diâm,หวาน,sweet,คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000092
093,093.m4a,苦,kóu,ขม,bitter,คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000093
094,094.m4a,辣,hua̍h,เผ็ด,spicy,คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000094
095,095.m4a,酸,seng,เปรี้ยว,sour,คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000095
096,096.m4a,新,sing,ใหม่,new,คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000096
097,097.m4a,旧,gū,เก่า,old (things),คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000097
098,098.m4a,长,dêng,ยาว,long,คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000098
099,099.m4a,短,dói,สั้น,short (length),คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000099
100,100.m4a,高,gao,สูง,tall / high,คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000100
101,101.m4a,快,kuài,เร็ว,fast,คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000101
102,102.m4a,慢,bān,ช้า,slow,คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000102
103,103.m4a,多,zōi,มาก,many / much,คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000103
104,104.m4a,美,suí,สวย,beautiful,คำคุณศัพท์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000104
105,105.m4a,饱,bá,อิ่ม,full (stomach),คำคุณศัพท์,ใช้หลังกินอาหาร,⏳ รอ,,,a0000001-0000-0000-0000-000000000105
106,106.m4a,饭,būng,ข้าว,rice (cooked),อาหาร,,⏳ รอ,,,a0000001-0000-0000-0000-000000000106
107,107.m4a,粥,mue̍h,โจ๊ก,rice porridge,อาหาร,อาหารเช้ายอดนิยมของชาวแต้จิ๋ว,⏳ รอ,,,a0000001-0000-0000-0000-000000000107
108,108.m4a,面条,mī,บะหมี่,noodles,อาหาร,,⏳ รอ,,,a0000001-0000-0000-0000-000000000108
109,109.m4a,鱼,hê,ปลา,fish,อาหาร,,⏳ รอ,,,a0000001-0000-0000-0000-000000000109
110,110.m4a,肉,ne̍b,เนื้อ,meat,อาหาร,,⏳ รอ,,,a0000001-0000-0000-0000-000000000110
111,111.m4a,猪肉,de ne̍b,เนื้อหมู,pork,อาหาร,,⏳ รอ,,,a0000001-0000-0000-0000-000000000111
112,112.m4a,鸡,goi,ไก่,chicken,อาหาร,,⏳ รอ,,,a0000001-0000-0000-0000-000000000112
113,113.m4a,鸡卵,goi nēng,ไข่,egg,อาหาร,,⏳ รอ,,,a0000001-0000-0000-0000-000000000113
114,114.m4a,菜,cài,ผัก,vegetable,อาหาร,,⏳ รอ,,,a0000001-0000-0000-0000-000000000114
115,115.m4a,豆,dāo,ถั่ว,bean,อาหาร,,⏳ รอ,,,a0000001-0000-0000-0000-000000000115
116,116.m4a,盐,iâm,เกลือ,salt,อาหาร,,⏳ รอ,,,a0000001-0000-0000-0000-000000000116
117,117.m4a,糖,têng,น้ำตาล,sugar,อาหาร,,⏳ รอ,,,a0000001-0000-0000-0000-000000000117
118,118.m4a,油,iû,น้ำมัน,oil,อาหาร,,⏳ รอ,,,a0000001-0000-0000-0000-000000000118
119,119.m4a,豆油,dāo iû,ซีอิ๊ว,soy sauce,อาหาร,เครื่องปรุงสำคัญในอาหารแต้จิ๋ว,⏳ รอ,,,a0000001-0000-0000-0000-000000000119
120,120.m4a,果子,gueh zí,ผลไม้,fruit,อาหาร,,⏳ รอ,,,a0000001-0000-0000-0000-000000000120
121,121.m4a,粿条,gueh diâo,ก๋วยเตี๋ยว,flat rice noodles,อาหาร,อาหารขึ้นชื่อของแต้จิ๋ว,⏳ รอ,,,a0000001-0000-0000-0000-000000000121
122,122.m4a,薄饼,bo̍h bián,ปอเปี๊ยะ,spring roll,อาหาร,,⏳ รอ,,,a0000001-0000-0000-0000-000000000122
123,123.m4a,蚝烙,ô lua̍h,ออส่วน,oyster omelette,อาหาร,อาหารแต้จิ๋วชื่อดัง,⏳ รอ,,,a0000001-0000-0000-0000-000000000123
124,124.m4a,鱼丸,hê în,ลูกชิ้นปลา,fish ball,อาหาร,,⏳ รอ,,,a0000001-0000-0000-0000-000000000124
125,125.m4a,卤鹅,lóu ghô,ห่านพะโล้,braised goose,อาหาร,อาหารขึ้นชื่อมากของแต้จิ๋ว,⏳ รอ,,,a0000001-0000-0000-0000-000000000125
126,126.m4a,茶,dê,ชา,tea,เครื่องดื่ม,วัฒนธรรมชาเป็นหัวใจของชาวแต้จิ๋ว,⏳ รอ,,,a0000001-0000-0000-0000-000000000126
127,127.m4a,水,zuí,น้ำ,water,เครื่องดื่ม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000127
128,128.m4a,酒,ziú,เหล้า/สุรา,alcohol / wine,เครื่องดื่ม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000128
129,129.m4a,牛奶,ghû ni,นม,milk,เครื่องดื่ม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000129
130,130.m4a,咖啡,gia bi,กาแฟ,coffee,เครื่องดื่ม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000130
131,131.m4a,豆浆,dāo zion,น้ำเต้าหู้,soy milk,เครื่องดื่ม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000131
132,132.m4a,汤,teng,น้ำซุป,soup,เครื่องดื่ม,ชาวแต้จิ๋วชอบดื่มน้ำซุปมาก,⏳ รอ,,,a0000001-0000-0000-0000-000000000132
133,133.m4a,凉水,liâng zuí,น้ำเย็น,cold water,เครื่องดื่ม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000133
134,134.m4a,烧水,sio zuí,น้ำร้อน,hot water,เครื่องดื่ม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000134
135,135.m4a,甘蔗汁,gam zià zab,น้ำอ้อย,sugarcane juice,เครื่องดื่ม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000135
136,136.m4a,狗,gáo,สุนัข,dog,สัตว์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000136
137,137.m4a,猫,niao,แมว,cat,สัตว์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000137
138,138.m4a,猪,de,หมู,pig,สัตว์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000138
139,139.m4a,牛,ghû,วัว,cow / ox,สัตว์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000139
140,140.m4a,羊,iôn,แพะ/แกะ,goat / sheep,สัตว์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000140
141,141.m4a,鸟,ziáo,นก,bird,สัตว์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000141
142,142.m4a,虫,tâng,แมลง,insect / bug,สัตว์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000142
143,143.m4a,蛇,zuâ,งู,snake,สัตว์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000143
144,144.m4a,鹅,ghô,ห่าน,goose,สัตว์,ห่านเป็นสัตว์สำคัญในวัฒนธรรมแต้จิ๋ว,⏳ รอ,,,a0000001-0000-0000-0000-000000000144
145,145.m4a,鸭,ah,เป็ด,duck,สัตว์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000145
146,146.m4a,马,bhué,ม้า,horse,สัตว์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000146
147,147.m4a,蚁,hiā,มด,ant,สัตว์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000147
148,148.m4a,蚊,bhâng,ยุง,mosquito,สัตว์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000148
149,149.m4a,虾,hôi,กุ้ง,shrimp,สัตว์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000149
150,150.m4a,蟹,hǒi,ปู,crab,สัตว์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000150
151,151.m4a,天,tin,ท้องฟ้า,sky / heaven,ธรรมชาติ,,⏳ รอ,,,a0000001-0000-0000-0000-000000000151
152,152.m4a,地,dī,พื้นดิน,ground / earth,ธรรมชาติ,,⏳ รอ,,,a0000001-0000-0000-0000-000000000152
153,153.m4a,日,ri̍g,ดวงอาทิตย์/วัน,sun / day,ธรรมชาติ,,⏳ รอ,,,a0000001-0000-0000-0000-000000000153
154,154.m4a,月,ghue̍h,ดวงจันทร์/เดือน,moon / month,ธรรมชาติ,,⏳ รอ,,,a0000001-0000-0000-0000-000000000154
155,155.m4a,星,cen,ดาว,star,ธรรมชาติ,,⏳ รอ,,,a0000001-0000-0000-0000-000000000155
156,156.m4a,风,huang,ลม,wind,ธรรมชาติ,,⏳ รอ,,,a0000001-0000-0000-0000-000000000156
157,157.m4a,雨,hǒu,ฝน,rain,ธรรมชาติ,,⏳ รอ,,,a0000001-0000-0000-0000-000000000157
158,158.m4a,山,suan,ภูเขา,mountain,ธรรมชาติ,,⏳ รอ,,,a0000001-0000-0000-0000-000000000158
159,159.m4a,海,hái,ทะเล,sea,ธรรมชาติ,แต้จิ๋วอยู่ติดทะเล,⏳ รอ,,,a0000001-0000-0000-0000-000000000159
160,160.m4a,溪,koi,ลำธาร,stream / river,ธรรมชาติ,,⏳ รอ,,,a0000001-0000-0000-0000-000000000160
161,161.m4a,花,hue,ดอกไม้,flower,ธรรมชาติ,,⏳ รอ,,,a0000001-0000-0000-0000-000000000161
162,162.m4a,树,ciū,ต้นไม้,tree,ธรรมชาติ,,⏳ รอ,,,a0000001-0000-0000-0000-000000000162
163,163.m4a,火,hué,ไฟ,fire,ธรรมชาติ,,⏳ รอ,,,a0000001-0000-0000-0000-000000000163
164,164.m4a,石头,zio̍h tâo,หิน,stone / rock,ธรรมชาติ,,⏳ รอ,,,a0000001-0000-0000-0000-000000000164
165,165.m4a,今日,gim ri̍g,วันนี้,today,เวลา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000165
166,166.m4a,昨日,za ri̍g,เมื่อวาน,yesterday,เวลา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000166
167,167.m4a,明日,ma ri̍g,พรุ่งนี้,tomorrow,เวลา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000167
168,168.m4a,早起,zá kí,ตอนเช้า,morning,เวลา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000168
169,169.m4a,暗时,àm sî,ตอนเย็น/กลางคืน,evening / night,เวลา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000169
170,170.m4a,现在,hěng zǎi,ตอนนี้,now,เวลา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000170
171,171.m4a,旧年,gū nî,ปีที่แล้ว,last year,เวลา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000171
172,172.m4a,明年,ma nî,ปีหน้า,next year,เวลา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000172
173,173.m4a,拜一,bài ig,วันจันทร์,Monday,เวลา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000173
174,174.m4a,年,nî,ปี,year,เวลา,,⏳ รอ,,,a0000001-0000-0000-0000-000000000174
175,175.m4a,厝,cù,บ้าน,house / home,สถานที่,คำแต้จิ๋วที่ใช้บ่อยมาก,⏳ รอ,,,a0000001-0000-0000-0000-000000000175
176,176.m4a,学堂,o̍h dêng,โรงเรียน,school,สถานที่,,⏳ รอ,,,a0000001-0000-0000-0000-000000000176
177,177.m4a,街,goi,ถนน,street,สถานที่,,⏳ รอ,,,a0000001-0000-0000-0000-000000000177
178,178.m4a,市场,cī diôn,ตลาด,market,สถานที่,,⏳ รอ,,,a0000001-0000-0000-0000-000000000178
179,179.m4a,病院,bēn īn,โรงพยาบาล,hospital,สถานที่,,⏳ รอ,,,a0000001-0000-0000-0000-000000000179
180,180.m4a,欢喜,huan hí,ดีใจ/ยินดี,happy / glad,อารมณ์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000180
181,181.m4a,受气,siǔ kì,โกรธ,angry,อารมณ์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000181
182,182.m4a,惊,gian,กลัว,afraid / scared,อารมณ์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000182
183,183.m4a,忧,iu,เศร้า/กังวล,sad / worried,อารมณ์,ใช้ได้ทั้งเศร้าและกังวล,⏳ รอ,,,a0000001-0000-0000-0000-000000000183
184,184.m4a,无聊,bhô liâo,เบื่อ,bored,อารมณ์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000184
185,185.m4a,见笑,gìn siò,อาย,shy / embarrassed,อารมณ์,คำแต้จิ๋วที่น่าสนใจ แปลตรงตัวว่าเห็นแล้วหัวเราะ,⏳ รอ,,,a0000001-0000-0000-0000-000000000185
186,186.m4a,疼,tiàn,เจ็บ/รัก,pain / to love dearly,อารมณ์,ใช้ได้ทั้งเจ็บปวดและรักมาก,⏳ รอ,,,a0000001-0000-0000-0000-000000000186
187,187.m4a,烦,huâng,หงุดหงิด,annoyed / frustrated,อารมณ์,,⏳ รอ,,,a0000001-0000-0000-0000-000000000187
188,188.m4a,钱,zîn,เงิน,money,การเงิน,,⏳ รอ,,,a0000001-0000-0000-0000-000000000188
189,189.m4a,银,ngêng,เงิน (โลหะ),silver / money,การเงิน,,⏳ รอ,,,a0000001-0000-0000-0000-000000000189
190,190.m4a,贵,guì,แพง,expensive,การเงิน,,⏳ รอ,,,a0000001-0000-0000-0000-000000000190
191,191.m4a,俭,kiām,ถูก/ประหยัด,cheap / thrifty,การเงิน,ใช้ได้ทั้งราคาถูกและประหยัด,⏳ รอ,,,a0000001-0000-0000-0000-000000000191
192,192.m4a,赚,tàn,หาเงิน/ได้กำไร,earn / profit,การเงิน,,⏳ รอ,,,a0000001-0000-0000-0000-000000000192
193,193.m4a,亏,kui,ขาดทุน,lose money / at a loss,การเงิน,,⏳ รอ,,,a0000001-0000-0000-0000-000000000193
194,194.m4a,账,diòn,บัญชี/หนี้,account / bill,การเงิน,,⏳ รอ,,,a0000001-0000-0000-0000-000000000194
195,195.m4a,朋友,pêng iú,เพื่อน,friend,สังคม,ออกเสียงคล้ายคำไทยว่า เพ็งอิ้ว,⏳ รอ,,,a0000001-0000-0000-0000-000000000195
196,196.m4a,客人,keh nâng,แขก,guest,สังคม,ชาวแต้จิ๋วให้ความสำคัญกับการต้อนรับแขก,⏳ รอ,,,a0000001-0000-0000-0000-000000000196
197,197.m4a,先生,sing sen,คุณครู/หมอ,teacher / doctor,สังคม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000197
198,198.m4a,头家,tâo ge,เจ้านาย/เจ้าของ,boss / owner,สังคม,คำแต้จิ๋วที่ใช้มากในธุรกิจ,⏳ รอ,,,a0000001-0000-0000-0000-000000000198
199,199.m4a,厝边,cù bin,เพื่อนบ้าน,neighbor,สังคม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000199
200,200.m4a,人客,nâng keh,แขก/ลูกค้า,guest / customer,สังคม,,⏳ รอ,,,a0000001-0000-0000-0000-000000000200
